id,cluster
3020200060443-api_xml-1-IMG-1,25
3020230018694-api_xml-0-IMG-0,41
3020210004683-api_xml-2-IMG-2,46
3020170005856-api_xml-2-IMG-2,37
3020200061673-api_xml-0-IMG-0,35
3020110048926-api_xml-1-IMG-1,49
3020110045132-api_xml-1-IMG-1,47
3020250019180-api_xml-2-IMG-2,29
3020240023406-api_xml-1-IMG-1,43
3020210002849-api_xml-0-IMG-0,38
3020220039899-api_xml-2-IMG-2,6
3020190042960-api_xml-1-IMG-1,10
3020170036939-api_xml-1-IMG-1,21
3020130021948-api_xml-0-IMG-0,14
3020140054231-api_xml-1-IMG-1,30
3020210028305-api_xml-0-IMG-0,39
